account_id,customer_id,account_type,balance,currency,status,opened_date,last_transaction_date
ACC00000049,CUST000958,INVESTMENT,24885.66,USD,SUSPENDED,2026-04-12,2026-02-05
ACC00000050,CUST000435,CHECKING,18362.37,CNY,SUSPENDED,2024-07-29,2026-02-01
ACC00000051,CUST000460,CREDIT,31351.19,CNY,PENDING,2027-12-29,2026-01-02
ACC00000052,CUST000406,CHECKING,36142.20,GBP,ACTIVE,2025-06-23,2025-12-29
ACC00000053,CUST966780,CHECKING,24247.47,USD,CLOSED,2025-03-22,2026-02-18
ACC00000054,CUST000469,INVESTMENT,53547.17,AUD,CLOSED,2024-08-20,2026-02-16
ACC00000055,CUST000991,SAVINGS,99250.63,USD,ACTIVE,2024-09-14,2025-12-31
ACC00000056,CUST000428,SAVINGS,80256.47,CHF,ACTIVE,2026-04-04,2025-12-23
ACC00000057,CUST000169,LOAN,45099.83,CNY,PENDING,2024-09-25,2026-02-20
ACC00000058,CUST000792,INVESTMENT,39962.75,CNY,PENDING,2026-11-28,2026-02-09
ACC00000059,CUST000858,CHECKING,21168.10,CHF,CLOSED,2028-01-17,2026-02-02
ACC00000060,CUST000576,CREDIT,91520.82,JPY,SUSPENDED,2027-04-24,2025-12-30
ACC00000061,CUST000538,INVESTMENT,48050.13,EUR,PENDING,2027-11-15,2026-02-19
ACC00000062,CUST000572,CHECKING,8952.55,AUD,CLOSED,2025-02-06,2026-01-01
ACC00000063,CUST000651,CHECKING,28846.91,AUD,ACTIVE,2027-08-10,2026-01-30
ACC00000064,CUST000989,LOAN,25832.22,USD,CLOSED,2024-07-30,2026-01-09
ACC00000065,CUST000650,INVESTMENT,65946.34,GBP,ACTIVE,2027-09-28,2026-01-26
ACC00000066,CUST000162,SAVINGS,79995.43,AUD,SUSPENDED,2026-04-28,2026-01-14
ACC00000067,CUST000900,CREDIT,57316.80,AUD,PENDING,2027-12-07,2026-02-06
ACC00000068,CUST000644,INVESTMENT,99497.45,CAD,ACTIVE,2026-12-14,2026-01-01
ACC00000069,CUST000343,LOAN,53081.31,AUD,PENDING,2024-05-13,2026-02-09
ACC00000070,CUST000628,LOAN,68997.34,USD,ACTIVE,2024-08-15,2025-12-25
ACC00000071,,INVESTMENT,53862.79,AUD,PENDING,2028-01-16,2026-01-29
ACC00000072,CUST000119,LOAN,89114.62,USD,ACTIVE,2025-04-11,2026-01-25
ACC00000073,CUST000391,CREDIT,38965.78,JPY,PENDING,2024-05-15,2026-01-13
ACC00000074,CUST000326,LOAN,42739.36,GBP,ACTIVE,2027-08-20,2026-01-16
ACC00000075,CUST000376,SAVINGS,16536.82,AUD,PENDING,2025-08-24,2026-02-02
ACC00000076,CUST000459,CREDIT,67687.83,CAD,ACTIVE,2027-12-31,2026-01-15
ACC00000077,CUST000735,CHECKING,65245.99,EUR,PENDING,2027-10-25,2026-01-10
ACC00000078,CUST961788,SAVINGS,42940.76,CAD,SUSPENDED,2026-12-27,2025-12-28
ACC00000079,CUST000194,CREDIT,81046.03,CAD,SUSPENDED,2026-08-06,2026-01-08
ACC00000080,CUST000158,CHECKING,36956.48,EUR,SUSPENDED,2026-04-20,2026-01-17
ACC00000081,CUST000317,INVESTMENT,87801.53,EUR,ACTIVE,2027-03-13,2026-01-13
ACC00000082,CUST958739,SAVINGS,85550.74,CNY,CLOSED,2025-06-23,2026-01-01
ACC00000083,CUST000251,CREDIT,55628.02,JPY,ACTIVE,2025-08-13,2026-02-17
ACC00000084,CUST000919,SAVINGS,64900.57,CNY,CLOSED,2026-05-05,2026-02-17
ACC00000085,CUST000923,LOAN,52983.49,JPY,SUSPENDED,2026-08-03,2025-12-29
ACC00000086,CUST000010,LOAN,93635.04,CAD,SUSPENDED,2025-10-25,2026-01-17
ACC00000087,CUST000480,CREDIT,48222.60,GBP,ACTIVE,2025-01-07,2026-01-01
ACC00000088,CUST000255,LOAN,70513.46,GBP,ACTIVE,2028-01-10,2026-02-18
ACC00000089,CUST955110,LOAN,16380.28,GBP,CLOSED,2027-04-06,2026-02-19
ACC00000090,CUST000906,CHECKING,83106.33,CNY,SUSPENDED,2027-06-30,2026-02-03
ACC00000091,CUST000704,CHECKING,95317.58,CAD,ACTIVE,2025-07-10,2025-12-28
ACC00000092,CUST000848,SAVINGS,70933.37,AUD,CLOSED,2026-05-30,2026-02-11
ACC00000093,CUST000510,INVESTMENT,16924.98,GBP,CLOSED,2025-08-08,2026-02-12
ACC00000094,CUST000009,CHECKING,21906.54,AUD,SUSPENDED,2024-06-15,2026-01-30
ACC00000095,CUST000421,CHECKING,18712.15,CNY,PENDING,2024-11-25,2025-12-24
ACC00000096,CUST000193,SAVINGS,14288.24,JPY,CLOSED,2024-10-27,2026-01-06
ACC00000097,CUST000133,INVESTMENT,64462.74,USD,ACTIVE,2024-10-08,2026-01-19
ACC00000098,CUST000912,CREDIT,91968.87,CNY,SUSPENDED,2025-03-06,2026-01-31
ACC00000099,CUST000156,LOAN,71470.55,CHF,SUSPENDED,2027-07-21,2026-01-23
ACC00000100,CUST000417,CHECKING,23262.31,EUR,SUSPENDED,2027-12-16,2025-12-27
ACC00000101,CUST000343,INVESTMENT,9459.87,CAD,PENDING,2026-09-07,2026-01-28
ACC00000102,CUST000281,CREDIT,42765.12,CNY,CLOSED,2025-11-14,2026-01-18
ACC00000103,CUST900525,LOAN,82585.90,GBP,CLOSED,2028-01-03,2026-01-18
ACC00000104,CUST000260,CREDIT,21141.95,CHF,CLOSED,2026-08-19,2026-01-29
ACC00000105,CUST000285,LOAN,72798.15,USD,CLOSED,2026-09-06,2026-02-09
ACC00000106,CUST000161,SAVINGS,76519.35,AUD,CLOSED,2025-03-08,2026-01-24
ACC00000107,CUST000107,CHECKING,12591.49,CAD,PENDING,2026-08-02,2026-01-24
ACC00000108,CUST000935,LOAN,10166.18,CHF,CLOSED,2027-04-30,2026-01-26
ACC00000109,CUST000690,INVESTMENT,37808.57,CNY,ACTIVE,2025-01-30,2026-01-03
ACC00000110,CUST000408,CHECKING,44615.59,EUR,ACTIVE,2024-07-31,2025-12-23
ACC00000111,CUST000301,SAVINGS,33031.07,GBP,SUSPENDED,2026-01-16,2026-02-10
ACC00000112,CUST000142,LOAN,40959.18,CHF,PENDING,2026-06-18,2026-01-07
ACC00000113,CUST000438,CHECKING,9026.40,CNY,PENDING,2026-08-21,2026-02-18
ACC00000114,CUST000835,CHECKING,15045.19,CAD,SUSPENDED,2026-06-15,2026-01-05
ACC00000115,CUST000754,LOAN,36277.69,CNY,SUSPENDED,2025-10-06,2026-01-29
ACC00000116,CUST000960,CREDIT,58469.77,JPY,SUSPENDED,2026-12-16,2025-12-26
ACC00000117,CUST000946,LOAN,56659.59,JPY,ACTIVE,2026-11-24,2026-01-30
ACC00000118,CUST000521,CHECKING,62594.84,CNY,CLOSED,2025-10-26,2025-12-30
ACC00000119,CUST000984,CREDIT,9757.47,USD,CLOSED,2024-09-06,2025-12-27
ACC00000120,CUST000201,INVESTMENT,56019.65,CHF,PENDING,2027-05-29,2026-02-04
ACC00000121,CUST000754,CREDIT,97520.10,CAD,SUSPENDED,2027-12-03,2025-12-31
ACC00000122,CUST000959,CHECKING,48151.56,CHF,PENDING,2025-09-18,2026-02-15
ACC00000123,CUST000126,SAVINGS,94574.20,CAD,SUSPENDED,2025-11-03,2026-02-21
ACC00000124,CUST000681,SAVINGS,29131.57,JPY,SUSPENDED,2026-07-29,2026-01-01
ACC00000125,CUST980652,CREDIT,71236.57,USD,CLOSED,2024-08-06,2025-12-24
ACC00000126,CUST000335,INVESTMENT,74631.36,EUR,PENDING,2027-03-20,2026-02-09
ACC00000127,CUST000374,CREDIT,91740.86,CNY,ACTIVE,2025-02-01,2026-01-12
ACC00000128,CUST000576,CREDIT,75524.95,CNY,PENDING,2027-07-11,2026-02-15
ACC00000129,CUST000417,LOAN,50374.12,CNY,CLOSED,2026-11-08,2026-01-02
ACC00000130,CUST000180,INVESTMENT,56398.54,JPY,ACTIVE,2025-03-12,2025-12-26
ACC00000131,CUST000565,CREDIT,47509.41,CNY,CLOSED,2027-05-23,2026-02-18
ACC00000132,CUST000284,INVESTMENT,56563.76,GBP,PENDING,2025-04-26,2025-12-31
ACC00000133,CUST000424,CREDIT,69672.79,CNY,ACTIVE,2024-06-21,2026-02-12
ACC00000134,CUST000280,CHECKING,96728.40,CAD,ACTIVE,2026-10-03,2026-01-30
ACC00000135,CUST000826,CREDIT,94021.01,AUD,PENDING,2025-05-11,2026-01-23
ACC00000136,CUST000230,INVESTMENT,40706.22,CNY,CLOSED,2025-10-18,2026-02-03
ACC00000137,CUST000552,CHECKING,90524.55,USD,PENDING,2026-04-28,2026-02-02
ACC00000138,CUST000984,LOAN,56545.21,JPY,ACTIVE,2025-04-29,2025-12-31
ACC00000139,CUST000750,INVESTMENT,1544.19,JPY,ACTIVE,2024-05-23,2026-02-11
ACC00000140,CUST000327,LOAN,9313.67,CAD,SUSPENDED,2025-05-02,2025-12-31
ACC00000141,CUST000763,INVESTMENT,98903.79,JPY,ACTIVE,2027-11-10,2026-02-05
ACC00000142,CUST000906,CHECKING,97209.80,GBP,ACTIVE,2025-01-02,2026-02-12
ACC00000143,CUST000723,LOAN,86130.82,AUD,ACTIVE,2024-04-21,2026-01-12
ACC00000144,CUST000194,INVESTMENT,24002.55,JPY,CLOSED,2027-05-30,2026-02-08
ACC00000145,CUST000143,LOAN,26536.69,USD,PENDING,2024-07-07,2026-01-22
ACC00000146,CUST000496,CREDIT,50509.20,EUR,CLOSED,2024-05-04,2026-01-25
ACC00000147,CUST000474,INVESTMENT,29065.59,CHF,PENDING,2024-11-08,2026-01-19
ACC00000148,CUST000408,LOAN,54582.17,CHF,PENDING,2026-07-25,2025-12-29
ACC00000149,CUST000224,LOAN,29495.55,CNY,ACTIVE,2024-07-15,2026-02-11
ACC00000150,CUST000277,LOAN,23240.16,CHF,SUSPENDED,2026-11-19,2026-01-14
ACC00000151,CUST000065,CHECKING,12553.87,CHF,SUSPENDED,2027-05-09,2026-02-19
ACC00000152,CUST000060,SAVINGS,40388.88,JPY,SUSPENDED,2027-07-03,2026-02-13
ACC00000153,CUST000522,CHECKING,44019.36,CAD,CLOSED,2026-01-23,2026-01-21
ACC00000154,CUST000892,LOAN,62501.51,EUR,SUSPENDED,2027-09-05,2025-12-25
ACC00000155,CUST000581,INVESTMENT,31953.38,JPY,PENDING,2027-11-03,2025-12-31
ACC00000156,CUST000838,LOAN,39572.47,JPY,CLOSED,2027-04-08,2026-01-20
ACC00000157,CUST000662,SAVINGS,58444.12,GBP,ACTIVE,2024-08-02,2026-02-04
ACC00000158,CUST000991,CREDIT,94139.10,CNY,SUSPENDED,2025-01-13,2025-12-28
ACC00000159,CUST000330,LOAN,51329.45,EUR,SUSPENDED,2025-05-25,2026-01-10
ACC00000160,CUST000494,CHECKING,76834.44,CHF,ACTIVE,2027-01-23,2026-02-14
ACC00000161,CUST000290,SAVINGS,18189.58,AUD,ACTIVE,2025-04-03,2026-02-19
ACC00000162,CUST000186,SAVINGS,88000.40,AUD,SUSPENDED,2025-11-06,2026-02-08
ACC00000163,CUST000112,CHECKING,36117.77,CHF,ACTIVE,2025-01-22,2026-01-22
ACC00000164,CUST000437,CHECKING,99436.49,JPY,SUSPENDED,2026-05-02,2026-01-27
ACC00000165,CUST000811,INVESTMENT,22896.48,AUD,ACTIVE,2026-06-12,2026-01-06
ACC00000166,CUST000023,INVESTMENT,37705.75,AUD,CLOSED,2024-11-06,2026-01-06
ACC00000167,CUST000836,CHECKING,58058.42,AUD,CLOSED,2026-06-06,2026-02-16
ACC00000168,CUST000320,CREDIT,87280.80,AUD,CLOSED,2026-09-29,2025-12-23
ACC00000169,CUST000704,LOAN,92892.83,USD,ACTIVE,2027-07-13,2026-01-06
ACC00000170,CUST000904,LOAN,54706.40,GBP,CLOSED,2024-07-13,2026-01-01
ACC00000171,CUST000777,LOAN,61632.66,CAD,ACTIVE,2024-07-24,2026-01-22
ACC00000172,CUST000514,LOAN,12081.66,EUR,SUSPENDED,2026-03-15,2026-02-01
ACC00000173,CUST000341,CREDIT,67199.24,AUD,SUSPENDED,2027-04-14,2026-01-30
ACC00000174,CUST000755,CHECKING,94004.09,CNY,CLOSED,2025-12-07,2026-01-01
ACC00000175,CUST000024,LOAN,11668.49,USD,SUSPENDED,2027-06-03,2026-01-24
ACC00000176,CUST000717,CREDIT,66439.56,CNY,CLOSED,2025-01-11,2025-12-26
ACC00000177,CUST000878,LOAN,69132.18,CHF,PENDING,2027-02-23,2026-01-10
ACC00000178,CUST000259,CHECKING,67932.88,GBP,ACTIVE,2025-02-26,2026-02-09
ACC00000179,CUST000823,INVESTMENT,10395.45,EUR,ACTIVE,2027-01-23,2026-01-06
ACC00000180,CUST901001,CREDIT,90062.88,CAD,ACTIVE,2025-10-19,2026-02-16
ACC00000181,CUST000813,INVESTMENT,5358.11,AUD,PENDING,2027-04-23,2025-12-28
ACC00000182,CUST000704,CREDIT,94010.91,AUD,ACTIVE,2027-09-18,2026-01-06
ACC00000183,CUST000779,INVESTMENT,2848.26,CNY,CLOSED,2026-09-29,2026-02-07
ACC00000184,CUST000068,CREDIT,77271.49,CNY,PENDING,2026-03-23,2026-02-02
ACC00000185,CUST000086,CHECKING,27096.74,CNY,ACTIVE,2025-07-17,2025-12-29
ACC00000186,CUST000980,INVESTMENT,76067.07,CNY,SUSPENDED,2025-07-10,2026-01-15
ACC00000187,CUST000731,INVESTMENT,36273.76,CAD,SUSPENDED,2027-09-26,2026-01-01
ACC00000188,CUST987791,SAVINGS,62622.32,EUR,CLOSED,2026-10-24,2026-02-14
ACC00000189,CUST000208,LOAN,49463.88,CAD,SUSPENDED,2026-01-24,2026-02-06
ACC00000190,CUST000747,LOAN,1416.92,JPY,PENDING,2024-10-09,2026-01-06
ACC00000191,CUST000492,CREDIT,72648.06,CNY,ACTIVE,2025-11-11,2026-01-07
ACC00000192,CUST000616,INVESTMENT,42241.71,GBP,CLOSED,2028-01-17,2026-01-24
ACC00000193,CUST000420,LOAN,787.39,CHF,ACTIVE,2026-05-29,2026-02-19
ACC00000194,CUST000862,CREDIT,12218.89,AUD,PENDING,2024-09-26,2025-12-28
ACC00000195,CUST000869,SAVINGS,87923.92,CAD,ACTIVE,2024-06-09,2025-12-28
ACC00000196,CUST000721,SAVINGS,72457.79,AUD,ACTIVE,2025-05-12,2026-01-06
ACC00000197,CUST969556,CREDIT,54120.46,USD,PENDING,2025-08-14,2026-01-17
ACC00000198,CUST000080,LOAN,50684.15,GBP,SUSPENDED,2024-12-16,2026-01-27
ACC00000199,CUST000592,SAVINGS,23441.94,CNY,ACTIVE,2024-10-31,2025-12-24
ACC00000200,CUST000225,CREDIT,66313.17,JPY,PENDING,2024-03-08,2025-12-26
ACC00000201,CUST000421,SAVINGS,56708.90,AUD,SUSPENDED,2024-12-12,2026-01-16
ACC00000202,CUST000337,INVESTMENT,57676.86,EUR,CLOSED,2026-01-29,2026-02-04
ACC00000203,CUST000942,INVESTMENT,39437.72,JPY,SUSPENDED,2027-09-18,2026-01-07
ACC00000204,CUST000329,INVESTMENT,10030.53,CAD,CLOSED,2024-10-12,2026-02-11
ACC00000205,CUST000387,CREDIT,91442.12,CNY,PENDING,2027-07-03,2026-01-31
ACC00000206,CUST000153,LOAN,30596.06,JPY,PENDING,2024-04-30,2026-02-15
ACC00000207,CUST000109,CHECKING,23111.96,EUR,PENDING,2027-08-29,2026-01-08
ACC00000208,CUST000320,CREDIT,21158.28,EUR,ACTIVE,2025-06-13,2026-01-05
ACC00000209,CUST000850,SAVINGS,83898.74,CAD,CLOSED,2026-10-09,2026-02-20
ACC00000210,CUST000451,CREDIT,17753.74,USD,PENDING,2026-02-22,2026-01-25
ACC00000211,CUST000467,CREDIT,17710.19,CAD,ACTIVE,2027-07-15,2026-01-30
ACC00000212,CUST000905,LOAN,92301.77,AUD,CLOSED,2025-01-15,2026-01-12
ACC00000213,CUST902243,LOAN,94588.34,AUD,ACTIVE,2027-08-15,2026-01-09
ACC00000214,CUST000255,CREDIT,47699.98,AUD,ACTIVE,2026-05-23,2026-02-11
ACC00000215,CUST000978,LOAN,64438.27,GBP,PENDING,2027-06-22,2026-01-20
ACC00000216,CUST000189,SAVINGS,44422.47,CNY,CLOSED,2026-07-03,2026-01-25
ACC00000217,CUST000663,LOAN,80412.10,CAD,CLOSED,2025-07-02,2026-02-13
ACC00000218,CUST000828,CHECKING,57188.33,CAD,SUSPENDED,2026-04-23,2026-01-07
ACC00000219,CUST000298,CHECKING,98808.87,JPY,PENDING,2027-08-22,2026-01-21
ACC00000220,CUST000902,LOAN,7.14,AUD,CLOSED,2024-03-03,2026-02-17
ACC00000221,CUST000355,CHECKING,55041.38,CNY,CLOSED,2025-09-09,2026-02-20
ACC00000222,CUST000187,LOAN,86509.28,CAD,ACTIVE,2027-06-03,2026-02-03
ACC00000223,CUST000520,SAVINGS,94043.31,GBP,PENDING,2026-12-14,2026-01-10
ACC00000224,CUST000591,LOAN,23946.75,CHF,PENDING,2026-06-02,2026-01-31
ACC00000225,CUST000256,INVESTMENT,99212.76,USD,ACTIVE,2026-09-22,2026-02-10
ACC00000226,CUST000496,CREDIT,59957.29,CNY,PENDING,2025-11-23,2026-02-20
ACC00000227,CUST000155,CHECKING,79499.14,AUD,CLOSED,2027-10-17,2026-01-12
ACC00000228,CUST000195,INVESTMENT,416.90,EUR,ACTIVE,2027-02-28,2026-02-14
ACC00000229,CUST000612,CHECKING,15923.24,USD,PENDING,2026-05-20,2026-02-06
ACC00000230,CUST000254,INVESTMENT,88801.81,CHF,CLOSED,2027-01-17,2025-12-30
ACC00000231,CUST000593,SAVINGS,16159.17,EUR,PENDING,2025-05-11,2026-01-05
ACC00000232,CUST000391,INVESTMENT,40516.59,AUD,SUSPENDED,2027-12-16,2026-02-09
ACC00000233,CUST000456,CREDIT,6661.91,USD,ACTIVE,2025-11-05,2026-02-04
ACC00000234,CUST000633,SAVINGS,10267.61,GBP,PENDING,2025-12-30,2026-01-14
ACC00000235,CUST000555,INVESTMENT,70366.91,CAD,CLOSED,2026-06-08,2026-01-01
ACC00000236,CUST000857,SAVINGS,55193.42,CHF,CLOSED,2026-01-23,2026-01-16
ACC00000237,CUST000174,INVESTMENT,81260.83,CHF,SUSPENDED,2026-12-28,2026-02-03
ACC00000238,CUST000089,INVESTMENT,49090.23,CNY,ACTIVE,2028-01-04,2025-12-26
ACC00000239,CUST949936,SAVINGS,47208.74,USD,SUSPENDED,2025-08-05,2026-01-28
ACC00000240,CUST000462,SAVINGS,23087.59,USD,CLOSED,2026-06-24,2026-01-25
ACC00000241,CUST000098,INVESTMENT,31308.01,AUD,CLOSED,2024-03-29,2026-01-11
ACC00000242,CUST986940,INVESTMENT,25404.13,CHF,SUSPENDED,2026-05-09,2026-01-26
ACC00000243,CUST000776,LOAN,56513.85,USD,PENDING,2024-10-16,2026-02-12
ACC00000244,CUST000836,LOAN,99094.42,USD,ACTIVE,2026-09-29,2026-02-07
ACC00000245,CUST000209,CREDIT,80615.04,CNY,CLOSED,2025-02-17,2026-02-08
ACC00000246,CUST000637,LOAN,29312.31,CNY,ACTIVE,2024-07-15,2026-01-02
ACC00000247,CUST000616,CREDIT,44645.58,USD,ACTIVE,2025-07-02,2026-01-09
ACC00000248,CUST000106,LOAN,33146.37,USD,CLOSED,2024-12-07,2026-02-02
ACC00000249,CUST985377,INVESTMENT,55825.16,CNY,CLOSED,2026-02-15,2026-01-08
ACC00000250,CUST000953,CREDIT,25003.37,CHF,ACTIVE,2027-11-24,2025-12-28
ACC00000251,CUST000668,SAVINGS,64650.42,USD,SUSPENDED,2026-11-09,2026-01-17
ACC00000252,CUST000764,SAVINGS,39707.04,CAD,PENDING,2025-05-23,2026-01-09
ACC00000253,CUST000546,SAVINGS,13777.83,USD,PENDING,2025-07-28,2026-02-12
ACC00000254,CUST000444,INVESTMENT,41462.21,GBP,SUSPENDED,2024-10-10,2026-02-06
ACC00000255,CUST000609,INVESTMENT,423.09,USD,SUSPENDED,2024-09-26,2026-01-19
ACC00000256,CUST000401,CHECKING,75136.00,CAD,SUSPENDED,2027-09-16,2026-01-06
ACC00000257,CUST000185,LOAN,34158.91,JPY,PENDING,2024-10-22,2026-02-09
ACC00000258,CUST000530,INVESTMENT,49849.17,CNY,CLOSED,2024-07-10,2026-01-09
ACC00000259,CUST000686,CHECKING,841.27,CNY,SUSPENDED,2024-07-20,2025-12-26
ACC00000260,CUST000148,LOAN,49847.46,USD,SUSPENDED,2026-09-23,2026-02-16
ACC00000261,CUST000635,INVESTMENT,56310.60,USD,ACTIVE,2027-03-27,2026-02-10
ACC00000262,CUST928453,SAVINGS,24644.03,JPY,SUSPENDED,2025-09-18,2026-01-31
ACC00000263,CUST000520,CHECKING,28291.72,EUR,PENDING,2025-05-15,2026-01-25
ACC00000264,CUST000564,LOAN,50703.94,CHF,PENDING,2027-04-23,2026-02-16
ACC00000265,CUST000613,SAVINGS,95568.76,EUR,SUSPENDED,2026-05-25,2026-01-13
ACC00000266,CUST000012,INVESTMENT,82745.30,JPY,PENDING,2024-08-20,2026-02-04
ACC00000267,CUST000659,LOAN,59988.73,USD,PENDING,2024-06-17,2026-01-08
ACC00000268,CUST000818,LOAN,32491.39,CAD,SUSPENDED,2025-05-26,2026-02-14
ACC00000269,CUST000056,INVESTMENT,39774.47,CHF,CLOSED,2027-06-07,2026-02-12
ACC00000270,CUST000419,INVESTMENT,54699.60,CNY,ACTIVE,2027-12-02,2026-02-21
ACC00000271,CUST000323,SAVINGS,85248.47,GBP,CLOSED,2027-08-05,2026-02-17
ACC00000272,CUST000162,LOAN,60238.51,AUD,CLOSED,2026-06-14,2026-01-13
ACC00000273,CUST943553,INVESTMENT,65776.35,JPY,SUSPENDED,2026-05-14,2026-01-08
ACC00000274,CUST950203,CHECKING,38728.79,USD,SUSPENDED,2025-06-03,2026-02-12
ACC00000275,CUST000659,LOAN,61087.98,CNY,CLOSED,2026-01-07,2026-01-16
ACC00000276,CUST000790,LOAN,52715.38,CAD,ACTIVE,2024-12-17,2025-12-31
ACC00000277,CUST000069,SAVINGS,92658.82,GBP,ACTIVE,2024-02-18,2026-01-25
ACC00000278,CUST000373,LOAN,15884.47,CHF,PENDING,2026-06-25,2026-01-28
ACC00000279,CUST000473,SAVINGS,64117.16,AUD,ACTIVE,2026-04-15,2026-01-02
ACC00000280,CUST000545,CREDIT,11177.40,USD,ACTIVE,2024-08-24,2026-02-06
ACC00000281,CUST000089,CHECKING,80793.93,AUD,PENDING,2024-02-05,2025-12-31
ACC00000282,CUST000681,CHECKING,6745.44,CAD,ACTIVE,2025-01-10,2026-02-07
ACC00000283,CUST000436,SAVINGS,82450.11,USD,ACTIVE,2026-09-16,2026-01-28
ACC00000284,CUST000513,CHECKING,60376.61,CAD,PENDING,2026-01-03,2025-12-30
ACC00000285,CUST932894,CHECKING,25693.90,CNY,SUSPENDED,2024-10-20,2026-01-01
ACC00000286,CUST000384,LOAN,56572.62,CAD,CLOSED,2025-08-29,2026-01-28
