balance_id,account_id,balance_date,opening_balance,closing_balance,currency
BAL0000000029,ACC00000001,2025-12-25,85644.33,86545.18,USD
BAL0000000030,ACC00000001,2025-12-24,86545.18,87281.06,USD
BAL0000000031,ACC00000002,2026-01-22,8259.41,7496.90,EUR
BAL0000000032,ACC00000002,2026-01-21,7496.90,6507.99,EUR
BAL0000000033,ACC00000002,2026-01-20,6507.99,5634.93,EUR
BAL0000000034,ACC00000002,2026-01-19,5634.93,4856.82,EUR
BAL0000000035,ACC00000002,2026-01-18,4856.82,5810.33,EUR
BAL0000000036,ACC00000002,2026-01-17,5810.33,6463.38,EUR
BAL0000000037,ACC00000002,2026-01-16,6463.38,7026.98,EUR
BAL0000000038,ACC00000002,2026-01-15,7026.98,6186.42,EUR
BAL0000000039,ACC00000002,2026-01-14,6186.42,5294.95,EUR
BAL0000000040,ACC00000002,2026-01-13,5294.95,5630.36,EUR
BAL0000000041,ACC00000002,2026-01-12,5630.36,6145.93,EUR
BAL0000000042,ACC00000002,2026-01-11,6145.93,6384.62,EUR
BAL0000000043,ACC00000002,2026-01-10,6384.62,6156.46,EUR
BAL0000000044,ACC00000002,2026-01-09,6156.46,5910.80,EUR
BAL0000000045,ACC00000002,2026-01-08,5910.80,5937.21,EUR
BAL0000000046,ACC00000002,2026-01-07,5937.21,5923.17,EUR
BAL0000000047,ACC00000002,2026-01-06,5923.17,6531.32,EUR
BAL0000000048,ACC00000002,2026-01-05,6531.32,6418.81,EUR
BAL0000000049,ACC00000002,2026-01-04,6418.81,5723.07,EUR
BAL0000000050,ACC00000002,2026-01-03,5723.07,5155.15,EUR
BAL0000000051,ACC00000002,2026-01-02,5155.15,4687.13,EUR
BAL0000000052,ACC00000002,2026-01-01,4687.13,5148.03,EUR
BAL0000000053,ACC00000002,2025-12-31,5148.03,5945.15,EUR
BAL0000000054,ACC00000002,2025-12-30,5945.15,6137.94,EUR
BAL0000000055,ACC00000002,2025-12-29,6137.94,5211.99,EUR
BAL0000000056,ACC00000002,2025-12-28,5211.99,4660.06,EUR
BAL0000000057,ACC00000002,2025-12-27,4660.06,4761.56,EUR
BAL0000000058,ACC00000002,2025-12-26,4761.56,5723.35,EUR
BAL0000000059,ACC00000002,2025-12-25,5723.35,5320.04,EUR
BAL0000000060,ACC00000002,2025-12-24,5320.04,6179.41,EUR
BAL0000000061,ACC00000003,2026-01-22,42255.71,43201.29,JPY
BAL0000000062,ACC00000003,2026-01-21,43201.29,42553.66,JPY
BAL0000000063,ACC00000003,2026-01-20,42553.66,42482.60,JPY
BAL0000000064,ACC00000003,2026-01-19,42482.60,42423.29,JPY
BAL0000000065,ACC00000003,2026-01-18,42423.29,42036.17,JPY
BAL0000000066,ACC00000003,2026-01-17,42036.17,42012.75,JPY
BAL0000000067,ACC00000003,2026-01-16,42012.75,41903.49,JPY
BAL0000000068,ACC00000003,2026-01-15,41903.49,42892.60,JPY
BAL0000000069,ACC00000003,2026-01-14,42892.60,42357.24,JPY
BAL0000000070,ACC00000003,2026-01-13,42357.24,41708.96,JPY
BAL0000000071,ACC00000003,2026-01-12,41708.96,41149.26,JPY
BAL0000000072,ACC00000003,2026-01-11,41149.26,41088.09,JPY
BAL0000000073,ACC00000003,2026-01-10,41088.09,41210.28,JPY
BAL0000000074,ACC00000003,2026-01-09,41210.28,41436.28,JPY
BAL0000000075,ACC00000003,2026-01-08,41436.28,42333.85,JPY
BAL0000000076,ACC00000003,2026-01-07,42333.85,42423.46,JPY
BAL0000000077,ACC00000003,2026-01-06,42423.46,43113.51,JPY
BAL0000000078,ACC00000003,2026-01-05,43113.51,42879.97,JPY
BAL0000000079,ACC00000003,2026-01-04,42879.97,42729.81,JPY
BAL0000000080,ACC00000003,2026-01-03,42729.81,43187.36,JPY
BAL0000000081,ACC00000003,2026-01-02,43187.36,43208.82,JPY
BAL0000000082,ACC00000003,2026-01-01,43208.82,44206.78,JPY
BAL0000000083,ACC00000003,2025-12-31,44206.78,44509.69,JPY
BAL0000000084,ACC00000003,2025-12-30,44509.69,43871.08,JPY
BAL0000000085,ACC00000003,2025-12-29,43871.08,44772.75,JPY
BAL0000000086,ACC00000003,2025-12-28,44772.75,43915.41,JPY
BAL0000000087,ACC00000003,2025-12-27,43915.41,43549.13,JPY
BAL0000000088,ACC00000003,2025-12-26,43549.13,43857.21,JPY
BAL0000000089,ACC00000003,2025-12-25,43857.21,43656.62,JPY
BAL0000000090,ACC00000003,2025-12-24,43656.62,43479.32,JPY
BAL0000000091,ACC00000004,2026-01-22,36692.66,37399.66,EUR
BAL0000000092,ACC00000004,2026-01-21,37399.66,36978.92,EUR
BAL0000000093,ACC00000004,2026-01-20,36978.92,37395.84,EUR
BAL0000000094,ACC00000004,2026-01-19,37395.84,37105.17,EUR
BAL0000000095,ACC00000004,2026-01-18,37105.17,37935.82,EUR
BAL0000000096,ACC00000004,2026-01-17,37935.82,37834.76,EUR
BAL0000000097,ACC00000004,2026-01-16,37834.76,37902.24,EUR
BAL0000000098,ACC00000004,2026-01-15,37902.24,37095.18,EUR
BAL0000000099,ACC00000004,2026-01-14,37095.18,37712.03,EUR
BAL0000000100,ACC00000004,2026-01-13,37712.03,37984.17,EUR
BAL0000000101,ACC00000004,2026-01-12,37984.17,38223.90,EUR
BAL0000000102,ACC00000004,2026-01-11,38223.90,38214.94,EUR
BAL0000000103,ACC00000004,2026-01-10,38214.94,37794.28,EUR
BAL0000000104,ACC00000004,2026-01-09,37794.28,37253.98,EUR
BAL0000000105,ACC00000004,2026-01-08,37253.98,37766.76,EUR
BAL0000000106,ACC00000004,2026-01-07,37766.76,37287.35,EUR
BAL0000000107,ACC00000004,2026-01-06,37287.35,36951.05,EUR
BAL0000000108,ACC00000004,2026-01-05,36951.05,36188.15,EUR
BAL0000000109,ACC00000004,2026-01-04,36188.15,36609.59,EUR
BAL0000000110,ACC00000004,2026-01-03,36609.59,36809.12,EUR
BAL0000000111,ACC00000004,2026-01-02,36809.12,36713.56,EUR
BAL0000000112,ACC00000004,2026-01-01,36713.56,36139.01,EUR
BAL0000000113,ACC00000004,2025-12-31,36139.01,35511.01,EUR
BAL0000000114,ACC00000004,2025-12-30,35511.01,35257.10,EUR
BAL0000000115,ACC00000004,2025-12-29,35257.10,35057.07,EUR
BAL0000000116,ACC00000004,2025-12-28,35057.07,35256.11,EUR
BAL0000000117,ACC00000004,2025-12-27,35256.11,36081.34,EUR
BAL0000000118,ACC00000004,2025-12-26,36081.34,36132.36,EUR
BAL0000000119,ACC00000004,2025-12-25,36132.36,37114.41,EUR
BAL0000000120,ACC00000004,2025-12-24,37114.41,36757.29,EUR
BAL0000000121,ACC00000005,2026-01-22,44810.12,43913.38,CNY
BAL0000000122,ACC00000005,2026-01-21,43913.38,44870.11,CNY
BAL0000000123,ACC00000005,2026-01-20,44870.11,44560.62,CNY
BAL0000000124,ACC00000005,2026-01-19,44560.62,43815.50,CNY
BAL0000000125,ACC00000005,2026-01-18,43815.50,43776.19,CNY
BAL0000000126,ACC00000005,2026-01-17,43776.19,44510.25,CNY
BAL0000000127,ACC00000005,2026-01-16,44510.25,43965.84,CNY
BAL0000000128,ACC00000005,2026-01-15,43965.84,44135.21,CNY
BAL0000000129,ACC00000005,2026-01-14,44135.21,44251.32,CNY
BAL0000000130,ACC00000005,2026-01-13,44251.32,44423.23,CNY
BAL0000000131,ACC00000005,2026-01-12,44423.23,45389.20,CNY
BAL0000000132,ACC00000005,2026-01-11,45389.20,46271.66,CNY
BAL0000000133,ACC00000005,2026-01-10,46271.66,46941.56,CNY
BAL0000000134,ACC00000005,2026-01-09,46941.56,46745.04,CNY
BAL0000000135,ACC00000005,2026-01-08,46745.04,45808.48,CNY
BAL0000000136,ACC00000005,2026-01-07,45808.48,46382.33,CNY
BAL0000000137,ACC00000005,2026-01-06,46382.33,46377.35,CNY
BAL0000000138,ACC00000005,2026-01-05,46377.35,46410.36,CNY
BAL0000000139,ACC00000005,2026-01-04,46410.36,47228.89,CNY
BAL0000000140,ACC00000005,2026-01-03,47228.89,46689.14,CNY
BAL0000000141,ACC00000005,2026-01-02,46689.14,47310.48,CNY
BAL0000000142,ACC00000005,2026-01-01,47310.48,47853.54,CNY
BAL0000000143,ACC00000005,2025-12-31,47853.54,47641.73,CNY
BAL0000000144,ACC00000005,2025-12-30,47641.73,48433.65,CNY
BAL0000000145,ACC00000005,2025-12-29,48433.65,47731.45,CNY
BAL0000000146,ACC00000005,2025-12-28,47731.45,48655.53,CNY
BAL0000000147,ACC00000005,2025-12-27,48655.53,49602.65,CNY
BAL0000000148,ACC00000005,2025-12-26,49602.65,50529.07,CNY
BAL0000000149,ACC00000005,2025-12-25,50529.07,50774.21,CNY
BAL0000000150,ACC00000005,2025-12-24,50774.21,51375.57,CNY
BAL0000000151,ACC00000006,2026-01-22,16017.23,15940.74,USD
BAL0000000152,ACC00000006,2026-01-21,15940.74,16804.91,USD
BAL0000000153,ACC00000006,2026-01-20,16804.91,15880.42,USD
BAL0000000154,ACC00000006,2026-01-19,15880.42,16280.64,USD
BAL0000000155,ACC00000006,2026-01-18,16280.64,15506.18,USD
BAL0000000156,ACC00000006,2026-01-17,15506.18,16235.91,USD
BAL0000000157,ACC00000006,2026-01-16,16235.91,15952.40,USD
BAL0000000158,ACC00000006,2026-01-15,15952.40,16931.78,USD
BAL0000000159,ACC00000006,2026-01-14,16931.78,17825.75,USD
BAL0000000160,ACC00000006,2026-01-13,17825.75,17270.67,USD
BAL0000000161,ACC00000006,2026-01-12,17270.67,17371.09,USD
BAL0000000162,ACC00000006,2026-01-11,17371.09,17591.49,USD
BAL0000000163,ACC00000006,2026-01-10,17591.49,17204.11,USD
BAL0000000164,ACC00000006,2026-01-09,17204.11,16846.15,USD
BAL0000000165,ACC00000006,2026-01-08,16846.15,16450.15,USD
BAL0000000166,ACC00000006,2026-01-07,16450.15,16293.54,USD
BAL0000000167,ACC00000006,2026-01-06,16293.54,15724.14,USD
BAL0000000168,ACC00000006,2026-01-05,15724.14,15029.06,USD
BAL0000000169,ACC00000006,2026-01-04,15029.06,15220.68,USD
BAL0000000170,ACC00000006,2026-01-03,15220.68,16049.41,USD
BAL0000000171,ACC00000006,2026-01-02,16049.41,16447.96,USD
BAL0000000172,ACC00000006,2026-01-01,16447.96,17319.63,USD
BAL0000000173,ACC00000006,2025-12-31,17319.63,18086.49,USD
BAL0000000174,ACC00000006,2025-12-30,18086.49,17910.87,USD
BAL0000000175,ACC00000006,2025-12-29,17910.87,18167.21,USD
BAL0000000176,ACC00000006,2025-12-28,18167.21,18233.79,USD
BAL0000000177,ACC00000006,2025-12-27,18233.79,18801.40,USD
BAL0000000178,ACC00000006,2025-12-26,18801.40,18115.10,USD
BAL0000000179,ACC00000006,2025-12-25,18115.10,18493.06,USD
BAL0000000180,ACC00000006,2025-12-24,18493.06,18806.76,USD
BAL0000000181,ACC00000007,2026-01-22,32556.00,33142.62,AUD
BAL0000000182,ACC00000007,2026-01-21,33142.62,33338.80,AUD
BAL0000000183,ACC00000007,2026-01-20,33338.80,32362.25,AUD
BAL0000000184,ACC00000007,2026-01-19,32362.25,32054.44,AUD
BAL0000000185,ACC00000007,2026-01-18,32054.44,32320.25,AUD
BAL0000000186,ACC00000007,2026-01-17,32320.25,31578.89,AUD
BAL0000000187,ACC00000007,2026-01-16,31578.89,31157.79,AUD
BAL0000000188,ACC00000007,2026-01-15,31157.79,30626.36,AUD
BAL0000000189,ACC00000007,2026-01-14,30626.36,31333.25,AUD
BAL0000000190,ACC00000007,2026-01-13,31333.25,30404.79,AUD
BAL0000000191,ACC00000007,2026-01-12,30404.79,30415.90,AUD
BAL0000000192,ACC00000007,2026-01-11,30415.90,31251.44,AUD
BAL0000000193,ACC00000007,2026-01-10,31251.44,31747.87,AUD
BAL0000000194,ACC00000007,2026-01-09,31747.87,31717.54,AUD
BAL0000000195,ACC00000007,2026-01-08,31717.54,31527.49,AUD
BAL0000000196,ACC00000007,2026-01-07,31527.49,31246.53,AUD
BAL0000000197,ACC00000007,2026-01-06,31246.53,30542.63,AUD
BAL0000000198,ACC00000007,2026-01-05,30542.63,30656.03,AUD
BAL0000000199,ACC00000007,2026-01-04,30656.03,29997.81,AUD
BAL0000000200,ACC00000007,2026-01-03,29997.81,30067.44,AUD
BAL0000000201,ACC00000007,2026-01-02,30067.44,29571.12,AUD
BAL0000000202,ACC00000007,2026-01-01,29571.12,29127.35,AUD
BAL0000000203,ACC00000007,2025-12-31,29127.35,29528.54,AUD
BAL0000000204,ACC00000007,2025-12-30,29528.54,28941.60,AUD
BAL0000000205,ACC00000007,2025-12-29,28941.60,28916.38,AUD
BAL0000000206,ACC00000007,2025-12-28,28916.38,29834.36,AUD
BAL0000000207,ACC00000007,2025-12-27,29834.36,29105.61,AUD
BAL0000000208,ACC00000007,2025-12-26,29105.61,28410.85,AUD
BAL0000000209,ACC00000007,2025-12-25,28410.85,28042.90,AUD
BAL0000000210,ACC00000007,2025-12-24,28042.90,28240.07,AUD
BAL0000000211,ACC00000008,2026-01-22,46726.50,46698.96,CHF
BAL0000000212,ACC00000008,2026-01-21,46698.96,46395.01,CHF
BAL0000000213,ACC00000008,2026-01-20,46395.01,45913.81,CHF
BAL0000000214,ACC00000008,2026-01-19,45913.81,46407.43,CHF
BAL0000000215,ACC00000008,2026-01-18,46407.43,46621.05,CHF
BAL0000000216,ACC00000008,2026-01-17,46621.05,45848.86,CHF
BAL0000000217,ACC00000008,2026-01-16,45848.86,45016.09,CHF
BAL0000000218,ACC00000008,2026-01-15,45016.09,45274.45,CHF
BAL0000000219,ACC00000008,2026-01-14,45274.45,44837.07,CHF
BAL0000000220,ACC00000008,2026-01-13,44837.07,44903.55,CHF
BAL0000000221,ACC00000008,2026-01-12,44903.55,44186.01,CHF
BAL0000000222,ACC00000008,2026-01-11,44186.01,44654.23,CHF
BAL0000000223,ACC00000008,2026-01-10,44654.23,45321.94,CHF
BAL0000000224,ACC00000008,2026-01-09,45321.94,45339.12,CHF
BAL0000000225,ACC00000008,2026-01-08,45339.12,44938.31,CHF
BAL0000000226,ACC00000008,2026-01-07,44938.31,45856.51,CHF
BAL0000000227,ACC00000008,2026-01-06,45856.51,46117.57,CHF
BAL0000000228,ACC00000008,2026-01-05,46117.57,46849.55,CHF
BAL0000000229,ACC00000008,2026-01-04,46849.55,46599.24,CHF
BAL0000000230,ACC00000008,2026-01-03,46599.24,46205.36,CHF
BAL0000000231,ACC00000008,2026-01-02,46205.36,46291.57,CHF
BAL0000000232,ACC00000008,2026-01-01,46291.57,47059.64,CHF
BAL0000000233,ACC00000008,2025-12-31,47059.64,46476.96,CHF
BAL0000000234,ACC00000008,2025-12-30,46476.96,47191.94,CHF
BAL0000000235,ACC00000008,2025-12-29,47191.94,47788.19,CHF
BAL0000000236,ACC00000008,2025-12-28,47788.19,48745.22,CHF
BAL0000000237,ACC00000008,2025-12-27,48745.22,49429.73,CHF
BAL0000000238,ACC00000008,2025-12-26,49429.73,49740.39,CHF
BAL0000000239,ACC00000008,2025-12-25,49740.39,50159.71,CHF
BAL0000000240,ACC00000008,2025-12-24,50159.71,49200.24,CHF
BAL0000000241,ACC00000009,2026-01-22,86403.71,85837.41,CAD
BAL0000000242,ACC00000009,2026-01-21,85837.41,86607.94,CAD
BAL0000000243,ACC00000009,2026-01-20,86607.94,87025.53,CAD
BAL0000000244,ACC00000009,2026-01-19,87025.53,86719.55,CAD
BAL0000000245,ACC00000009,2026-01-18,86719.55,86204.95,CAD
BAL0000000246,ACC00000009,2026-01-17,86204.95,86422.87,CAD
BAL0000000247,ACC00000009,2026-01-16,86422.87,87012.66,CAD
BAL0000000248,ACC00000009,2026-01-15,87012.66,87049.45,CAD
BAL0000000249,ACC00000009,2026-01-14,87049.45,87148.28,CAD
BAL0000000250,ACC00000009,2026-01-13,87148.28,87548.41,CAD
BAL0000000251,ACC00000009,2026-01-12,87548.41,87639.81,CAD
BAL0000000252,ACC00000009,2026-01-11,87639.81,88126.75,CAD
BAL0000000253,ACC00000009,2026-01-10,88126.75,88052.28,CAD
BAL0000000254,ACC00000009,2026-01-09,88052.28,87423.66,CAD
BAL0000000255,ACC00000009,2026-01-08,87423.66,87993.75,CAD
BAL0000000256,ACC00000009,2026-01-07,87993.75,87357.89,CAD
BAL0000000257,ACC00000009,2026-01-06,87357.89,88177.68,CAD
BAL0000000258,ACC00000009,2026-01-05,88177.68,87619.33,CAD
BAL0000000259,ACC00000009,2026-01-04,87619.33,86964.25,CAD
BAL0000000260,ACC00000009,2026-01-03,86964.25,86165.35,CAD
BAL0000000261,ACC00000009,2026-01-02,86165.35,87016.75,CAD
BAL0000000262,ACC00000009,2026-01-01,87016.75,86769.47,CAD
BAL0000000263,ACC00000009,2025-12-31,86769.47,86529.10,CAD
BAL0000000264,ACC00000009,2025-12-30,86529.10,85596.32,CAD
BAL0000000265,ACC00000009,2025-12-29,85596.32,85084.85,CAD
BAL0000000266,ACC00000009,2025-12-28,85084.85,84707.29,CAD
BAL0000000267,ACC00000009,2025-12-27,84707.29,84007.75,CAD
BAL0000000268,ACC00000009,2025-12-26,84007.75,83351.78,CAD
BAL0000000269,ACC00000009,2025-12-25,83351.78,82641.88,CAD
BAL0000000270,ACC00000009,2025-12-24,82641.88,82384.29,CAD
BAL0000000271,ACC00000010,2026-01-22,75361.38,76231.19,AUD
BAL0000000272,ACC00000010,2026-01-21,76231.19,76834.31,AUD
BAL0000000273,ACC00000010,2026-01-20,76834.31,76058.91,AUD
BAL0000000274,ACC00000010,2026-01-19,76058.91,76777.96,AUD
BAL0000000275,ACC00000010,2026-01-18,76777.96,76328.64,AUD
BAL0000000276,ACC00000010,2026-01-17,76328.64,75593.24,AUD
BAL0000000277,ACC00000010,2026-01-16,75593.24,75639.92,AUD
BAL0000000278,ACC00000010,2026-01-15,75639.92,75513.78,AUD
BAL0000000279,ACC00000010,2026-01-14,75513.78,76148.20,AUD
BAL0000000280,ACC00000010,2026-01-13,76148.20,75653.52,AUD
BAL0000000281,ACC00000010,2026-01-12,75653.52,74768.07,AUD
BAL0000000282,ACC00000010,2026-01-11,74768.07,75601.67,AUD
BAL0000000283,ACC00000010,2026-01-10,75601.67,75004.32,AUD
BAL0000000284,ACC00000010,2026-01-09,75004.32,75028.24,AUD
BAL0000000285,ACC00000010,2026-01-08,75028.24,75702.31,AUD
BAL0000000286,ACC00000010,2026-01-07,75702.31,74745.35,AUD
BAL0000000287,ACC00000010,2026-01-06,74745.35,74105.69,AUD
BAL0000000288,ACC00000010,2026-01-05,74105.69,73266.68,AUD
BAL0000000289,ACC00000010,2026-01-04,73266.68,73350.28,AUD
BAL0000000290,ACC00000010,2026-01-03,73350.28,73737.58,AUD
BAL0000000291,ACC00000010,2026-01-02,73737.58,74435.18,AUD
BAL0000000292,ACC00000010,2026-01-01,74435.18,75036.40,AUD
BAL0000000293,ACC00000010,2025-12-31,75036.40,75196.65,AUD
BAL0000000294,ACC00000010,2025-12-30,75196.65,74268.33,AUD
BAL0000000295,ACC00000010,2025-12-29,74268.33,73745.22,AUD
BAL0000000296,ACC00000010,2025-12-28,73745.22,72968.69,AUD
BAL0000000297,ACC00000010,2025-12-27,72968.69,73486.67,AUD
BAL0000000298,ACC00000010,2025-12-26,73486.67,72905.86,AUD
BAL0000000299,ACC00000010,2025-12-25,72905.86,72877.20,AUD
BAL0000000300,ACC00000010,2025-12-24,72877.20,72015.99,AUD
BAL0000000301,ACC00000011,2026-01-22,77878.28,77303.87,JPY
BAL0000000302,ACC00000011,2026-01-21,77303.87,76892.45,JPY
BAL0000000303,ACC00000011,2026-01-20,76892.45,76569.25,JPY
BAL0000000304,ACC00000011,2026-01-19,76569.25,76685.95,JPY
BAL0000000305,ACC00000011,2026-01-18,76685.95,76677.10,JPY
BAL0000000306,ACC00000011,2026-01-17,76677.10,76171.93,JPY
BAL0000000307,ACC00000011,2026-01-16,76171.93,76894.64,JPY
BAL0000000308,ACC00000011,2026-01-15,76894.64,77058.65,JPY
BAL0000000309,ACC00000011,2026-01-14,77058.65,77359.83,JPY
BAL0000000310,ACC00000011,2026-01-13,77359.83,76641.48,JPY
BAL0000000311,ACC00000011,2026-01-12,76641.48,76453.06,JPY
BAL0000000312,ACC00000011,2026-01-11,76453.06,76660.56,JPY
BAL0000000313,ACC00000011,2026-01-10,76660.56,76350.07,JPY
BAL0000000314,ACC00000011,2026-01-09,76350.07,76491.71,JPY
BAL0000000315,ACC00000011,2026-01-08,76491.71,76031.83,JPY
BAL0000000316,ACC00000011,2026-01-07,76031.83,76595.16,JPY
BAL0000000317,ACC00000011,2026-01-06,76595.16,76130.56,JPY
BAL0000000318,ACC00000011,2026-01-05,76130.56,76757.46,JPY
BAL0000000319,ACC00000011,2026-01-04,76757.46,76176.20,JPY
BAL0000000320,ACC00000011,2026-01-03,76176.20,75532.20,JPY
BAL0000000321,ACC00000011,2026-01-02,75532.20,75522.63,JPY
BAL0000000322,ACC00000011,2026-01-01,75522.63,76249.17,JPY
BAL0000000323,ACC00000011,2025-12-31,76249.17,76882.26,JPY
BAL0000000324,ACC00000011,2025-12-30,76882.26,77586.16,JPY
BAL0000000325,ACC00000011,2025-12-29,77586.16,78094.17,JPY
BAL0000000326,ACC00000011,2025-12-28,78094.17,78312.56,JPY
BAL0000000327,ACC00000011,2025-12-27,78312.56,77920.78,JPY
BAL0000000328,ACC00000011,2025-12-26,77920.78,78137.71,JPY
BAL0000000329,ACC00000011,2025-12-25,78137.71,78917.84,JPY
BAL0000000330,ACC00000011,2025-12-24,78917.84,79894.29,JPY
BAL0000000331,ACC00000012,2026-01-22,2045.14,1170.51,EUR
BAL0000000332,ACC00000012,2026-01-21,1170.51,596.46,EUR
BAL0000000333,ACC00000012,2026-01-20,596.46,1306.41,EUR
BAL0000000334,ACC00000012,2026-01-19,1306.41,1158.66,EUR
BAL0000000335,ACC00000012,2026-01-18,1158.66,1570.75,EUR
BAL0000000336,ACC00000012,2026-01-17,1570.75,697.39,EUR
BAL0000000337,ACC00000012,2026-01-16,697.39,32.54,EUR
BAL0000000338,ACC00000012,2026-01-15,32.54,946.68,EUR
BAL0000000339,ACC00000012,2026-01-14,946.68,1639.41,EUR
BAL0000000340,ACC00000012,2026-01-13,1639.41,1915.21,EUR
BAL0000000341,ACC00000012,2026-01-12,1915.21,1961.90,EUR
BAL0000000342,ACC00000012,2026-01-11,1961.90,1235.91,EUR
BAL0000000343,ACC00000012,2026-01-10,1235.91,1275.30,EUR
BAL0000000344,ACC00000012,2026-01-09,1275.30,1739.34,EUR
BAL0000000345,ACC00000012,2026-01-08,1739.34,2246.37,EUR
BAL0000000346,ACC00000012,2026-01-07,2246.37,3068.83,EUR
BAL0000000347,ACC00000012,2026-01-06,3068.83,3288.17,EUR
BAL0000000348,ACC00000012,2026-01-05,3288.17,3507.00,EUR
BAL0000000349,ACC00000012,2026-01-04,3507.00,3516.04,EUR
BAL0000000350,ACC00000012,2026-01-03,3516.04,3377.38,EUR
BAL0000000351,ACC00000012,2026-01-02,3377.38,3684.05,EUR
BAL0000000352,ACC00000012,2026-01-01,3684.05,3045.80,EUR
BAL0000000353,ACC00000012,2025-12-31,3045.80,2371.29,EUR
BAL0000000354,ACC00000012,2025-12-30,2371.29,2190.08,EUR
BAL0000000355,ACC00000012,2025-12-29,2190.08,2069.17,EUR
BAL0000000356,ACC00000012,2025-12-28,2069.17,2716.72,EUR
BAL0000000357,ACC00000012,2025-12-27,2716.72,3589.34,EUR
BAL0000000358,ACC00000012,2025-12-26,3589.34,3189.96,EUR
BAL0000000359,ACC00000012,2025-12-25,3189.96,3483.82,EUR
BAL0000000360,ACC00000012,2025-12-24,3483.82,2892.46,EUR
BAL0000000361,ACC00000013,2026-01-22,78955.56,78338.33,CAD
BAL0000000362,ACC00000013,2026-01-21,78338.33,78276.83,CAD
BAL0000000363,ACC00000013,2026-01-20,78276.83,78929.93,CAD
BAL0000000364,ACC00000013,2026-01-19,78929.93,78505.52,CAD
BAL0000000365,ACC00000013,2026-01-18,78505.52,78845.81,CAD
BAL0000000366,ACC00000013,2026-01-17,78845.81,78598.03,CAD
BAL0000000367,ACC00000013,2026-01-16,78598.03,78250.15,CAD
BAL0000000368,ACC00000013,2026-01-15,78250.15,78521.66,CAD
BAL0000000369,ACC00000013,2026-01-14,78521.66,78269.08,CAD
BAL0000000370,ACC00000013,2026-01-13,78269.08,78499.00,CAD
BAL0000000371,ACC00000013,2026-01-12,78499.00,78712.94,CAD
BAL0000000372,ACC00000013,2026-01-11,78712.94,79409.14,CAD
BAL0000000373,ACC00000013,2026-01-10,79409.14,80344.25,CAD
BAL0000000374,ACC00000013,2026-01-09,80344.25,80007.10,CAD
BAL0000000375,ACC00000013,2026-01-08,80007.10,79998.78,CAD
BAL0000000376,ACC00000013,2026-01-07,79998.78,80660.72,CAD
BAL0000000377,ACC00000013,2026-01-06,80660.72,80886.76,CAD
BAL0000000378,ACC00000013,2026-01-05,80886.76,80602.34,CAD
BAL0000000379,ACC00000013,2026-01-04,80602.34,79905.66,CAD
BAL0000000380,ACC00000013,2026-01-03,79905.66,80826.73,CAD
BAL0000000381,ACC00000013,2026-01-02,80826.73,81297.58,CAD
BAL0000000382,ACC00000013,2026-01-01,81297.58,82220.52,CAD
BAL0000000383,ACC00000013,2025-12-31,82220.52,81552.56,CAD
BAL0000000384,ACC00000013,2025-12-30,81552.56,82067.66,CAD
BAL0000000385,ACC00000013,2025-12-29,82067.66,82785.67,CAD
BAL0000000386,ACC00000013,2025-12-28,82785.67,82996.06,CAD
BAL0000000387,ACC00000013,2025-12-27,82996.06,82131.27,CAD
BAL0000000388,ACC00000013,2025-12-26,82131.27,82713.41,CAD
BAL0000000389,ACC00000013,2025-12-25,82713.41,81868.02,CAD
